entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
360,290620,Cu62,1.000000000000000e+20,2.233125765732108e+17
361,290630,Cu63,1.000000000000000e+20,3.000087305031450e+20
362,290640,Cu64,1.000000000000000e+20,2.195992657384745e+19
363,290650,Cu65,1.000000000000000e+20,4.008312047136465e+20
364,290660,Cu66,1.000000000000000e+20,2.196934870276175e+17
365,290670,Cu67,1.000000000000000e+20,2.198167904440980e+20
366,290680,Cu68,1.000000000000000e+20,0.000000000000000e+00
367,290681,Cu68m,1.000000000000000e+20,3.169869746452268e-23
368,290690,Cu69,1.000000000000000e+20,9.026747298585174e-23
369,290700,Cu70,1.000000000000000e+20,3.948454154976367e-21
370,290701,Cu70m,1.000000000000000e+20,0.000000000000000e+00
371,290702,Cu70n,1.000000000000000e+20,3.000678524551676e-36
372,290710,Cu71,1.000000000000000e+20,5.802074363382715e-29
373,290720,Cu72,1.000000000000000e+20,1.451085875622977e-37
374,290730,Cu73,1.000000000000000e+20,1.779065382938660e-37
375,290740,Cu74,1.000000000000000e+20,0.000000000000000e+00
376,290750,Cu75,1.000000000000000e+20,0.000000000000000e+00
377,300580,Zn58,1.000000000000000e+20,0.000000000000000e+00
378,300590,Zn59,1.000000000000000e+20,2.106242204546151e-49
379,300600,Zn60,1.000000000000000e+20,4.210044960832608e-23
380,300610,Zn61,1.000000000000000e+20,0.000000000000000e+00
381,300620,Zn62,1.000000000000000e+20,1.250206870999867e+19
382,300630,Zn63,1.000000000000000e+20,1.560125074124026e+07
383,300640,Zn64,1.000000000000000e+20,3.304356286361987e+20
384,300650,Zn65,1.000000000000000e+20,2.990246129749218e+20
385,300660,Zn66,1.000000000000000e+20,4.289959730795674e+20
386,300670,Zn67,1.000000000000000e+20,2.449625975837350e+20
387,300680,Zn68,1.000000000000000e+20,7.018336352739670e+20
388,300690,Zn69,1.000000000000000e+20,1.809681270148062e+18
389,300691,Zn69m,1.000000000000000e+20,2.472762736902522e+19
390,300700,Zn70,1.000000000000000e+20,5.004099999999999e+20
391,300710,Zn71,1.000000000000000e+20,3.438737468279369e-23
392,300711,Zn71m,1.000000000000000e+20,7.733780856469119e+17
393,300720,Zn72,1.000000000000000e+20,1.321940154356952e+20
394,300730,Zn73,1.000000000000000e+20,1.383652898893737e-26
395,300731,Zn73m,1.000000000000000e+20,1.446686318250193e-30
396,300732,Zn73n,1.000000000000000e+20,0.000000000000000e+00
397,300740,Zn74,1.000000000000000e+20,0.000000000000000e+00
398,300750,Zn75,1.000000000000000e+20,0.000000000000000e+00
399,300760,Zn76,1.000000000000000e+20,7.948340299748806e-39
400,310630,Ga63,1.000000000000000e+20,0.000000000000000e+00
401,310640,Ga64,1.000000000000000e+20,6.519729167303019e-23
402,310650,Ga65,1.000000000000000e+20,0.000000000000000e+00
403,310660,Ga66,1.000000000000000e+20,3.038024417538757e+19
404,310670,Ga67,1.000000000000000e+20,2.352206119721672e+20
405,310680,Ga68,1.000000000000000e+20,5.187528379996673e+16
406,310690,Ga69,1.000000000000000e+20,7.884255697559036e+20
407,310700,Ga70,1.000000000000000e+20,0.000000000000000e+00
408,310710,Ga71,1.000000000000000e+20,5.155231351997366e+20
409,310720,Ga72,1.000000000000000e+20,8.636049942081492e+19
410,310721,Ga72m,1.000000000000000e+20,1.044094040988236e+12
411,310730,Ga73,1.000000000000000e+20,9.527032590230995e+18
412,310740,Ga74,1.000000000000000e+20,0.000000000000000e+00
413,310741,Ga74m,1.000000000000000e+20,0.000000000000000e+00
414,310750,Ga75,1.000000000000000e+20,2.579169855727263e-22
415,310760,Ga76,1.000000000000000e+20,0.000000000000000e+00
416,310770,Ga77,1.000000000000000e+20,7.603022894466647e-31
417,310780,Ga78,1.000000000000000e+20,0.000000000000000e+00
418,310790,Ga79,1.000000000000000e+20,4.847008568631011e-38
419,320640,Ge64,1.000000000000000e+20,0.000000000000000e+00
420,320650,Ge65,1.000000000000000e+20,1.054081764997996e-22
421,320660,Ge66,1.000000000000000e+20,1.995104736966024e+16
422,320670,Ge67,1.000000000000000e+20,1.892376057060206e-05
423,320680,Ge68,1.000000000000000e+20,2.991144894422338e+20
424,320690,Ge69,1.000000000000000e+20,1.840371216049229e+20
425,320700,Ge70,1.000000000000000e+20,3.995899998415366e+20
426,320710,Ge71,1.000000000000000e+20,2.601447761921292e+20
427,320711,Ge71m,1.000000000000000e+20,0.000000000000000e+00
428,320720,Ge72,1.000000000000000e+20,3.445881457033752e+20
429,320730,Ge73,1.000000000000000e+20,6.942235101356977e+20
430,320731,Ge73m,1.000000000000000e+20,2.677368994562018e+14
431,320740,Ge74,1.000000000000000e+20,5.064118122049582e+20
432,320750,Ge75,1.000000000000000e+20,4.391012017771641e+14
433,320751,Ge75m,1.000000000000000e+20,1.412208764371672e-23
434,320760,Ge76,1.000000000000000e+20,2.999999999999996e+20
435,320770,Ge77,1.000000000000000e+20,2.512225548739595e+19
436,320771,Ge77m,1.000000000000000e+20,7.201235515059024e-23
